Service,Stars,URL
Antom,2,https://github.com/alipay/global-antom-mcp
CTERA Portal,2,https://github.com/ctera/mcp-ctera-core
Momento,2,https://github.com/momentohq/mcp-momento
NanoVMs,2,https://github.com/nanovms/ops-mcp
OctoEverywhere,2,https://github.com/OctoEverywhere/mcp
Revit,2,https://github.com/NonicaTeam/AI-Connector-for-Revit
Rodin,2,https://github.com/DeemosTech/rodin-api-mcp
Verodat,2,https://github.com/Verodat/verodat-mcp-server
Winston AI,2,https://github.com/gowinston-ai/winston-ai-mcp-server
Buildable,1,https://github.com/chunkydotdev/bldbl-mcp
Cheqd,1,https://github.com/cheqd/mcp-toolkit
CRIC Wuye AI,1,https://github.com/wuye-ai/mcp-server-wuye-ai
CTERA Edge Filer,1,https://github.com/ctera/mcp-ctera-edge
Hiveflow,1,https://github.com/hiveflowai/hiveflow-mcp-server
Routine,1,https://github.com/routineco/mcp-server
Tako,1,https://github.com/TakoData/tako-mcp
Token Metrics,1,https://github.com/token-metrics/mcp
Verbwire,1,https://github.com/verbwire/verbwire-mcp-server
ZIZAI Recruitment,1,https://github.com/zaiwork/mcp
AlipayPlus,0,https://github.com/alipay/global-alipayplus-mcp
AllVoiceLab,0,https://www.allvoicelab.com/mcp
Apollo MCP Server,0,https://github.com/apollographql/apollo-mcp-server/
Aqara MCP Server,0,https://github.com/aqara/aqara-mcp-server/
Archbee,0,https://www.npmjs.com/package/@archbee/mcp
Arize Phoenix,0,https://github.com/Arize-ai/phoenix/tree/main/js/packages/phoenix-mcp
Atlan,0,https://github.com/atlanhq/agent-toolkit/tree/main/modelcontextprotocol
Atlassian,0,https://www.atlassian.com/platform/remote-mcp-server
AtomGit,0,https://atomgit.com/atomgit-open-source-ecosystem/atomgit-mcp-server
Bankless Onchain,0,https://github.com/bankless/onchain-mcp
BrightData,0,https://github.com/luminati-io/brightdata-mcp
Bucket,0,https://github.com/bucketco/bucket-javascript-sdk/tree/main/packages/cli#model-context-protocol
Canva,0,https://www.canva.dev/docs/apps/mcp-server/
Chargebee,0,https://github.com/chargebee/agentkit/tree/main/modelcontextprotocol
Chiki StudIO,0,https://chiki.studio/galimybes/mcp/
CloudBees,0,https://docs.cloudbees.com/docs/cloudbees-mcp/latest/
Codacy,0,https://github.com/codacy/codacy-mcp-server/
CoinGecko,0,https://github.com/coingecko/coingecko-typescript/tree/main/packages/mcp-server
Convex,0,https://stack.convex.dev/convex-mcp-server
Cycode,0,https://github.com/cycodehq/cycode-cli#mcp-command-experiment
Daytona,0,https://github.com/daytonaio/daytona/tree/main/apps/cli/mcp
Defang,0,https://github.com/DefangLabs/defang/blob/main/src/pkg/mcp/README.md
Detailer,0,https://detailer.ginylil.com/
Drata,0,https://drata.com/mcp
Edgee,0,https://github.com/edgee-cloud/mcp-server-edgee
Endor Labs,0,https://docs.endorlabs.com/deployment/ide/mcp/
Firebase,0,https://github.com/firebase/firebase-tools/blob/master/src/mcp
FIXParser,0,https://gitlab.com/logotype/fixparser/-/tree/main/packages/fixparser-plugin-mcp
Fluid Attacks,0,https://github.com/fluidattacks/mcp
ForeverVM,0,https://github.com/jamsocket/forevervm/tree/main/javascript/mcp-server
Gitea,0,https://gitea.com/gitea/gitea-mcp
Grafbase,0,https://github.com/grafbase/grafbase/tree/main/crates/mcp
Grain,0,https://grain.com/release-note/06-18-2025
Homebrew,0,https://docs.brew.sh/MCP-Server
HubSpot,0,https://developer.hubspot.com/mcp
Hugging Face,0,https://huggingface.co/settings/mcp
IBM wxflows,0,https://github.com/IBM/wxflows/tree/main/examples/mcp/javascript
Inbox Zero,0,https://github.com/elie222/inbox-zero/tree/main/apps/mcp-server
Inflectra Spira,0,https://github.com/Inflectra/mcp-server-spira
Integration App,0,https://github.com/integration-app/mcp-server
Keboola,0,https://github.com/keboola/keboola-mcp-server
Klavis ReportGen,0,https://github.com/Klavis-AI/klavis/tree/main/mcp_servers/report_generation
Klaviyo,0,https://developers.klaviyo.com/en/docs/klaviyo_mcp_server
kluster.ai,0,https://docs.kluster.ai/get-started/mcp/overview/
Knit MCP Server,0,https://developers.getknit.dev/docs/knit-mcp-server-getting-started
Knock MCP Server,0,https://github.com/knocklabs/agent-toolkit#model-context-protocol-mcp
Linear,0,https://linear.app/docs/mcp
Lingo.dev,0,https://github.com/lingodotdev/lingo.dev/blob/main/mcp.md
Magic Meal Kits,0,https://github.com/pureugong/mmk-mcp
MariaDB,0,https://github.com/mariadb/mcp
Memgraph,0,https://github.com/memgraph/ai-toolkit/tree/main/integrations/mcp-memgraph
Mercado Libre,0,https://mcp.mercadolibre.com/
Mercado Pago,0,https://mcp.mercadopago.com/
Microsoft Dataverse,0,https://go.microsoft.com/fwlink/?linkid=2320176
Microsoft Learn Docs,0,https://github.com/microsoftdocs/mcp
Mobb,0,https://github.com/mobb-dev/bugsy?tab=readme-ov-file#model-context-protocol-mcp-server
Mulesoft,0,https://www.npmjs.com/package/@mulesoft/mcp-server
Neo4j,0,https://github.com/neo4j-contrib/mcp-neo4j/
Neon,0,https://github.com/neondatabase/mcp-server-neon
Nerve,0,https://github.com/nerve-hq/nerve-mcp-server
Netdata,0,https://github.com/netdata/netdata/blob/master/src/web/mcp/README.md
Netlify,0,https://docs.netlify.com/welcome/build-with-ai/netlify-mcp-server/
Notion,0,https://github.com/makenotion/notion-mcp-server#readme
Nx,0,https://github.com/nrwl/nx-console/blob/master/apps/nx-mcp
Offorte,0,https://github.com/offorte/offorte-mcp-server#readme
OlaMaps,0,https://pypi.org/project/ola-maps-mcp-server
OpenMetadata,0,https://open-metadata.org/mcp
OpsLevel,0,https://github.com/opslevel/opslevel-mcp
Orshot,0,https://github.com/rishimohan/orshot-mcp-server
PaddleOCR,0,https://paddlepaddle.github.io/PaddleOCR/latest/en/version3.x/deployment/mcp_server.html
Pagos,0,https://github.com/pagos-ai/pagos-mcp
PayPal,0,https://mcp.paypal.com
Pipedream,0,https://github.com/PipedreamHQ/pipedream/tree/master/modelcontextprotocol
PostHog,0,https://github.com/posthog/mcp
Postman API,0,https://github.com/postmanlabs/postman-api-mcp
Prisma,0,https://www.prisma.io/docs/postgres/mcp-server
Probe.dev,0,https://docs.probe.dev/guides/mcp-integration
proxymock,0,https://docs.speedscale.com/proxymock/reference/mcp/
Qdrant,0,https://github.com/qdrant/mcp-server-qdrant/
Qorus,0,https://qoretechnologies.com/manual/qorus/current/qorus/sysarch.html#mcp_server
Quickchat AI,0,https://github.com/incentivai/quickchat-ai-mcp
Ragie,0,https://github.com/ragieai/ragie-mcp-server/
Ramp,0,https://github.com/ramp-public/ramp-mcp
Redis,0,https://github.com/redis/mcp-redis/
Redis Cloud API,0,https://github.com/redis/mcp-redis-cloud/
Rill Data,0,https://docs.rilldata.com/explore/mcp
SafeDep,0,https://github.com/safedep/vet/blob/main/docs/mcp.md
SafeLine,0,https://github.com/chaitin/SafeLine/tree/main/mcp_server
ScreenshotMCP,0,https://github.com/upnorthmedia/ScreenshotMCP/
ScreenshotOne,0,https://github.com/screenshotone/mcp/
Smooth Operator,0,https://smooth-operator.online/agent-tools-api-docs/toolserverdocs
Snyk,0,https://github.com/snyk/snyk-ls/blob/main/mcp_extension/README.md
Sophtron,0,https://github.com/sophtron/Sophtron-Integration/tree/main/modelcontextprotocol
StackHawk,0,https://github.com/stackhawk/stackhawk-mcp
Steadybit,0,https://github.com/steadybit/mcp
Sunra AI,0,https://github.com/sunra-ai/sunra-clients/tree/main/mcp-server
Supadata,0,https://github.com/supadata-ai/mcp
Thena,0,https://mcp.thena.ai
Thirdweb,0,https://github.com/thirdweb-dev/ai/tree/main/python/thirdweb-mcp
Tianji,0,https://github.com/msgbyte/tianji/tree/master/apps/mcp-server
Tldv,0,https://gitlab.com/tldv/tldv-mcp-server
Uberall,0,https://github.com/uberall/uberall-mcp-server
Vectorize,0,https://github.com/vectorize-io/vectorize-mcp-server/
VideoDB Director,0,https://github.com/video-db/agent-toolkit/tree/main/modelcontextprotocol
Vizro,0,https://github.com/mckinsey/vizro/tree/main/vizro-mcp
Zapier,0,https://zapier.com/mcp
